customer_id,name,email,sex,age,state,cheq_balance,savings_balance,credit_score,special_offer
43,Lewes McNab,lmcnab16@xinhuanet.com,Male,66,TX,1662.23,4134.51,680,FALSE
44,Papagena Wilds,pwilds17@umich.edu,Male,120,FL,9796.55,18958.4,,TRUE
45,Afton Brighty,abrighty18@spiegel.de,Female,20,CA,6433.37,6991.08,671,FALSE
46,Eachelle Gowenlock,,Female,107,FL,9249.48,14654.89,777,FALSE
47,Fredra Syrie,fsyrie1a@microsoft.com,Female,11,NY,5448.87,6126.31,810,TRUE
48,Phaedra Corstan,,Female,59,CA,230.04,12425.36,641,FALSE
49,Kippy Ambrose,kambrose1c@washingtonpost.com,Female,107,CA,9913.96,,603,FALSE
50,Mei Bernardez,,Female,80,FL,3533.27,7131.89,770,FALSE
51,Sabina Larner,slarner1e@youku.com,Female,113,CA,6121.26,11877.87,649,TRUE
52,Eduino Elia,eelia1f@reuters.com,Female,118,CA,3521.02,18851.79,629,FALSE
53,Aloise Whitters,awhitters1g@ebay.com,Male,6,NY,8839.2,12538.69,627,FALSE
54,Deloria Antowski,,Female,2,CA,3067.34,,609,TRUE
55,Rachel Possel,,,84,FL,6202.08,9519.08,759,TRUE
56,Imogen Fyfield,ifyfield1j@huffingtonpost.com,Female,61,CA,1115.01,14264.28,697,FALSE
57,Ned Basil,nbasil1k@answers.com,Female,32,NY,3528.42,15358.83,,TRUE
58,Cully Reville,creville1l@skype.com,Female,65,FL,3232.32,18454.22,694,FALSE
59,Isahella Childrens,ichildrens1m@tiny.cc,Female,50,FL,6908.78,15045.51,717,TRUE
60,Locke Beglin,,Female,66,NY,5279.55,6182.51,752,FALSE
61,Sofie Potkins,spotkins1o@engadget.com,Male,25,CA,7097.85,,674,FALSE
62,Dacey Forge,dforge1p@wsj.com,Female,13,FL,3289.87,7640.07,,FALSE
63,Kirk Popworth,kpopworth1q@is.gd,Male,79,FL,,627.06,694,FALSE
64,Manon MacLleese,mmaclleese1r@geocities.com,Male,20,CA,358.21,10945.28,584,TRUE
65,Modesta Cromley,mcromley1s@opensource.org,Female,,TX,7381.48,10973.58,658,FALSE
66,Milicent Webb-Bowen,mwebbbowen1t@macromedia.com,Female,12,FL,139.21,,826,FALSE
67,Rudolph Ketchaside,,Female,13,TX,6838.32,7775.94,693,FALSE
68,Bank Kivell,bkivell1v@gizmodo.com,,73,TX,7707.21,9930.01,550,TRUE
69,Hube Leydon,hleydon1w@biglobe.ne.jp,Female,98,CA,7605.87,12059.12,623,FALSE
70,Reeva Sully,rsully1x@who.int,Female,81,NY,7324.54,480.13,748,FALSE
71,Clifford Branni,cbranni1y@nba.com,Female,,CA,6939.83,16109.15,606,TRUE
72,Else Jozef,,Female,46,CA,2252.46,,561,FALSE
73,Berta Cussen,bcussen20@blog.com,Male,114,,9384.17,16681.12,769,TRUE
74,Cecilia Ransley,cransley21@4shared.com,Female,12,CA,7740.45,9903.68,671,TRUE
75,Becca Sogg,bsogg22@redcross.org,Female,109,FL,7877.37,4039.07,,TRUE
76,Nero Kipling,nkipling23@livejournal.com,Female,4,TX,4894.43,14261.1,,TRUE
77,Cyrill Surgison,csurgison24@tumblr.com,Female,,FL,295.59,601.83,776,TRUE
78,Franklin Crolly,,Female,24,FL,7100.55,7603.53,731,FALSE
79,Minda Simoneau,msimoneau26@1688.com,Female,85,FL,371.48,9710.72,805,TRUE
80,Elysia Filipic,efilipic27@gravatar.com,Female,67,NY,3419.99,,655,FALSE
81,Vite Jewks,,Male,103,FL,7181.24,13822.06,566,FALSE
82,Helge Hughland,hhughland29@loc.gov,Male,70,FL,6110.27,9740.99,673,FALSE
83,Kassia Yewen,kyewen2a@comcast.net,Female,76,TX,442.77,2665.81,824,FALSE
84,Vinny Grute,vgrute2b@washington.edu,Female,58,FL,5426.56,18283.66,,FALSE
85,Vivianna Cromly,vcromly2c@businessinsider.com,Male,32,FL,774.31,18748.08,774,FALSE
86,Pansy Duligal,pduligal2d@tinypic.com,Female,13,TX,6133.92,3029.89,824,FALSE
87,Dael Dmitrienko,ddmitrienko2e@macromedia.com,Female,49,TX,89.16,11484.86,753,TRUE
88,Rodger Punton,rpunton2f@auda.org.au,Male,95,TX,7709.38,3836.08,810,TRUE
89,Rikki Ridley,rridley2g@netvibes.com,Male,44,CA,1752.6,10706.5,620,FALSE
90,Ash Spadotto,aspadotto2h@istockphoto.com,Male,34,CA,4932.28,14670.79,602,FALSE
91,Colby Brecknell,,Male,8,TX,7287.8,,564,FALSE
92,Gusta France,,Male,27,TX,8091.06,3553.94,662,FALSE
93,Anastasie Kampshell,akampshell2k@rambler.ru,Male,117,FL,2039.81,13244.09,,FALSE
94,Torrance Rubens,,Female,30,FL,4169.36,4649.53,612,FALSE
95,Ossie Searjeant,osearjeant2m@ow.ly,Female,89,CA,7696.05,10669.34,683,FALSE
96,Lorin Iddiens,,,,CA,7739.53,18518.33,822,FALSE
97,Shaw Zuanazzi,szuanazzi2o@redcross.org,Female,95,FL,1224.62,8942.44,609,FALSE
98,Fan Hovert,fhovert2p@wisc.edu,Female,20,CA,4222.45,4151.27,708,FALSE
99,Adara Valenta,avalenta2q@discovery.com,Female,38,CA,4132.96,,657,FALSE
100,Frank Ziemecki,fziemecki2r@ucla.edu,Female,61,CA,7474.8,12791.8,656,TRUE
101,Lamont Langthorn,llangthorn2s@so-net.ne.jp,,2,CA,426.9,15419.89,649,FALSE
102,Bernadina Greenway,bgreenway2t@cocolog-nifty.com,Female,68,NY,1148.96,16678.25,574,TRUE
103,Des Sides,dsides2u@weebly.com,Male,,FL,6495.34,14101.88,724,TRUE
104,Gillian Hindmoor,ghindmoor2v@accuweather.com,Female,62,NY,7471.64,10932.64,614,TRUE
105,Adler Beaston,abeaston2w@bravesites.com,Female,95,CA,8848.69,9055.13,769,TRUE
106,Paulina Lachaize,plachaize2x@timesonline.co.uk,Male,49,FL,6039.49,14657.81,636,FALSE
107,Nomi Lippitt,nlippitt2y@harvard.edu,Female,79,FL,6239.81,8032.66,770,TRUE
108,Sherwynd Alcock,salcock2z@nhs.uk,Male,50,FL,6832.21,10341.51,680,TRUE
109,Lind Pither,lpither30@jigsy.com,Male,76,CA,7393.63,10188.44,568,FALSE
110,Gaspar Lukas,glukas31@zdnet.com,Male,81,TX,5209.87,4719.25,645,TRUE
111,Kirby Binestead,,Male,4,CA,5381.8,19328.07,596,TRUE
112,Terencio Allmen,tallmen33@paginegialle.it,Female,104,TX,3328.16,19236.68,,TRUE
113,Shell Hatherleigh,shatherleigh34@shinystat.com,Female,14,CA,5058.16,10858.21,728,TRUE
114,Arda Lilburn,,Male,86,CA,3418.02,16563.91,550,FALSE
115,Lazaro Took,ltook36@yolasite.com,,37,TX,4199.68,19500.27,672,FALSE
116,Stepha Dowda,sdowda37@merriam-webster.com,Male,11,NY,1967.23,18837.51,794,FALSE
117,Dulcine Valentim,dvalentim38@mit.edu,Female,111,TX,3910.37,4026.26,,FALSE
,Herold Jeness,hjeness39@hud.gov,Female,34,TX,2856.54,16352.89,,TRUE
119,Lock Biskupski,,Female,,FL,7073.32,31.96,720,TRUE
120,Gerrie Rudderham,grudderham3b@shop-pro.jp,Male,92,TX,7977.14,12861.66,629,FALSE
121,Lucien Borsay,lborsay3c@harvard.edu,Male,,TX,2861.5,12171.9,596,TRUE
122,Anastasie Kitlee,akitlee3d@xrea.com,Male,116,CA,846.74,8568.46,675,TRUE
123,Harwell Enion,henion3e@wikia.com,Male,88,CA,1646.66,17118.92,700,TRUE
124,Holly Tire,,Male,86,CA,8511.37,584.57,668,FALSE
125,Gasper Hawtin,ghawtin3g@nydailynews.com,Female,39,CA,4084.58,12288.13,654,FALSE
126,Nerti Standage,nstandage3h@wikimedia.org,Female,106,CA,7734.69,4600.08,567,TRUE
127,Krishna d' Eye,kd3i@squidoo.com,Female,3,CA,5247.97,10355.96,641,TRUE
128,Anet Minister,aminister3j@blogspot.com,Female,9,FL,606.95,4568.96,707,FALSE
129,Stacey Iacovo,siacovo3k@cpanel.net,Female,61,FL,9896.43,1223.61,677,FALSE
130,Alano MacRierie,amacrierie3l@cyberchimps.com,Female,,FL,2672.27,7524.29,651,FALSE
131,Tamas Gimert,tgimert3m@spiegel.de,Female,109,CA,5746.73,11234.34,693,FALSE
132,Fernande Glyssanne,fglyssanne3n@oaic.gov.au,Male,,,1388.4,19304.86,793,FALSE
133,Leland Fludgate,lfludgate3o@narod.ru,Female,62,FL,8094.85,6776.11,707,FALSE
134,Neda Saywood,nsaywood3p@lulu.com,Female,9,CA,2944.03,9486.09,786,FALSE
135,Wright Stanley,wstanley3q@fastcompany.com,Female,33,TX,2238.88,10977.42,759,FALSE
136,Andee Basilone,abasilone3r@bbb.org,Male,61,TX,9418.38,1476.89,633,FALSE
137,Dagmar Stowgill,,Female,47,CA,3184.99,12812.5,563,TRUE
138,Pepita Hallbord,phallbord3t@about.me,Female,86,FL,2288.16,14161.54,695,FALSE
139,Tatum Bree,tbree3u@addtoany.com,Male,110,,1415.99,19168.17,,TRUE
140,Adolph Windley,awindley3v@soup.io,Male,118,FL,6373.4,14510.4,651,FALSE
141,Vachel Dodgson,vdodgson3w@t.co,Male,111,CA,3676.04,17391.83,607,FALSE
142,Louise Cavanagh,,Male,48,,6015.39,19521.46,698,TRUE
143,Arnaldo Robinson,arobinson3y@aol.com,Female,52,NY,5247.21,9902.58,712,FALSE
144,Padriac Cornil,pcornil3z@businessinsider.com,Male,29,NY,3777.54,2674.55,683,FALSE
145,Jerome Kern,jkern40@marketwatch.com,Male,63,NY,3065.35,8462.91,564,TRUE
146,Filippo Gregoli,fgregoli41@cornell.edu,Male,,NY,5488.57,4613.9,625,FALSE
,Hernando Atley,hatley42@symantec.com,Male,69,FL,588.64,14510.25,675,FALSE
148,Olivie Johananoff,ojohananoff43@rambler.ru,Female,51,TX,6061.21,,785,FALSE
149,Mill Todhunter,mtodhunter44@cisco.com,Male,110,TX,5635.04,7510.65,614,TRUE
150,Chrystel Lazer,clazer45@imageshack.us,Male,29,FL,4605.86,7247.14,696,FALSE
151,Jeffry Baskerfield,jbaskerfield46@gmpg.org,Male,,CA,2751.79,2090.52,629,TRUE
152,Jamie Mathan,jmathan47@merriam-webster.com,Male,55,FL,3914.82,4136.64,,FALSE
153,Giusto Sloey,,Male,41,FL,1193.48,12608.65,658,FALSE
154,Sherye Eberlein,,Male,45,FL,2940.29,17765.46,,TRUE
155,Grete Heathcott,,Male,40,,5188.36,7703.86,615,TRUE
156,Philippa Frossell,,,2,NY,,18509.29,605,TRUE
157,Jammal Lilly,jlilly4c@microsoft.com,Female,32,,9981.09,13121.83,,FALSE
158,Laurie Gildersleeve,lgildersleeve4d@ocn.ne.jp,Female,0,TX,6184.92,3767.37,779,TRUE
159,Samantha Took,,Male,,TX,7474.28,4453.42,684,FALSE
160,Maximilianus Hamnet,,Male,,NY,2302.34,3774.76,707,TRUE
161,Elisha Ferries,eferries4g@upenn.edu,Male,92,FL,,17780.33,612,FALSE
162,Rossie Hilhouse,rhilhouse4h@trellian.com,Male,62,FL,8054.54,8284.36,708,TRUE
163,Jacky Dyas,jdyas4i@google.co.uk,Female,98,NY,2297.16,16807.77,,FALSE
164,Hally Outright,houtright4j@cdbaby.com,Female,,TX,4157.83,67.46,561,TRUE
165,Tobye Curedale,tcuredale4k@ox.ac.uk,Male,66,NY,,7371.58,782,FALSE
166,Erich Arnoll,earnoll4l@g.co,Female,32,FL,4016.58,17247.15,576,TRUE
167,Porter Rossoni,prossoni4m@hubpages.com,Male,68,TX,4882.43,3940.78,673,TRUE
168,Corrine Pavlenko,,Female,115,CA,7931.54,6935.72,707,FALSE
169,Rudolph Nottle,rnottle4o@wsj.com,,22,NY,9662.49,6501.54,824,TRUE
170,Marlin Finicj,mfinicj4p@kickstarter.com,Female,20,TX,8072.22,15486.48,650,TRUE
171,Gabbi McCafferky,gmccafferky4q@archive.org,Male,20,FL,5217.54,6721.27,618,TRUE
172,Cherida Fearney,cfearney4r@liveinternet.ru,Female,65,FL,2972.17,15537.3,589,FALSE
173,Britt Bavridge,bbavridge4s@sphinn.com,Male,52,FL,2555.93,7784.19,822,FALSE
174,Tommy Lovelace,tlovelace4t@nba.com,Male,113,NY,3539.79,17125.69,786,FALSE
175,Gabriell Assiter,gassiter4u@usnews.com,Female,,CA,6792.48,9675.13,731,TRUE
176,Guntar Fielden,gfielden4v@reverbnation.com,Female,60,CA,7130.77,5580.47,554,FALSE
177,Rachel Barbrick,rbarbrick4w@surveymonkey.com,,,FL,8288.84,1210.47,560,TRUE
178,Inesita Leask,,Male,32,TX,7644.62,,614,TRUE
179,Lynette Moston,lmoston4y@naver.com,Male,108,TX,1056.76,6432.93,740,FALSE
180,Helli Merrifield,hmerrifield4z@businessweek.com,Female,52,TX,5449.95,3286.08,781,TRUE
181,Guillemette Frenchum,gfrenchum50@is.gd,,49,TX,3301.85,4937.06,791,FALSE
182,Ulrick Puddifer,upuddifer51@apache.org,,3,CA,1768.1,14080.32,815,TRUE
183,Abran Have,ahave52@usatoday.com,Female,29,CA,4630.89,,774,TRUE
184,Fransisco Oxtarby,foxtarby53@newsvine.com,Male,,CA,6456.31,11313.75,,TRUE
185,Meghan Revey,mrevey54@csmonitor.com,Male,69,CA,3849.46,777.07,586,FALSE
186,Archibald Ivchenko,aivchenko55@economist.com,Male,83,,3038.48,3227.05,667,TRUE
187,Marilin Coale,mcoale56@hexun.com,Female,,,3208.87,115.38,635,TRUE
188,Ashton Reiach,areiach57@lulu.com,Female,115,TX,3130.17,,719,FALSE
189,Dunstan Khoter,dkhoter58@imageshack.us,Female,87,TX,3665.8,13216.11,710,TRUE
190,Lancelot Poultney,lpoultney59@wiley.com,Male,,TX,9195.6,5570.64,786,FALSE
191,Don Lucio,,Female,18,CA,6968.58,68.75,607,FALSE
192,Symon McKillop,smckillop5b@cnet.com,Female,82,FL,2187.27,7585.13,576,TRUE
193,Penelopa Pedican,ppedican5c@imdb.com,Female,47,TX,5858.52,11210.78,631,TRUE
194,Katrinka Archell,karchell5d@timesonline.co.uk,Male,48,FL,7579.36,10556.29,751,FALSE
195,Raphael McInerney,rmcinerney5e@ibm.com,Female,44,CA,6437.07,3642.12,603,FALSE
196,Roi Burder,rburder5f@xing.com,Male,96,CA,9853.87,938.66,708,FALSE
197,Loni Byrne,lbyrne5g@jiathis.com,Male,87,TX,3029.87,16304.68,558,TRUE
198,Darrelle Amoss,damoss5h@behance.net,Female,97,CA,2932.48,17489.31,,TRUE
199,Cornelia Pell,cpell5i@prweb.com,Female,116,FL,8492.92,1975.81,677,FALSE
200,Ricky Giurio,rgiurio5j@engadget.com,Female,34,FL,1904.2,,594,FALSE
201,Lyon Tattershaw,ltattershaw5k@e-recht24.de,Female,81,TX,3733.4,17106.61,561,TRUE
202,Aileen Parram,aparram5l@cornell.edu,Female,68,CA,4962.21,14400.23,699,TRUE
203,Manda Moohan,mmoohan5m@forbes.com,Female,57,FL,8692.1,4408.6,734,TRUE
204,Kacie Wreiford,kwreiford5n@nymag.com,Male,87,NY,8981.49,13670.62,630,TRUE
205,Ladonna Ferry,lferry5o@psu.edu,Male,72,TX,6345.9,17427.47,696,TRUE
206,Dionysus McTeer,dmcteer5p@jalbum.net,Male,85,FL,429.83,8172.42,693,FALSE
207,Flem Tregale,,Female,98,NY,1584.27,14552.27,801,TRUE
208,Creight Simioni,csimioni5r@archive.org,Female,50,CA,1939.32,57.1,738,FALSE
209,Nanette Warlawe,nwarlawe5s@ucoz.com,Female,103,FL,8192.78,8799.91,,FALSE
210,Corliss Woollett,cwoollett5t@ustream.tv,Female,90,NY,963.09,,787,FALSE
211,Siegfried Gethyn,sgethyn5u@spiegel.de,Female,100,TX,68.76,,658,FALSE
212,Barbara-anne Chesshyre,bchesshyre5v@vinaora.com,Male,10,TX,9278.43,1156.63,746,FALSE
213,Duke Gealle,dgealle5w@washingtonpost.com,Female,62,FL,2337.35,9839.95,680,FALSE
214,Sherry Gepp,sgepp5x@apple.com,,79,TX,710.59,11670.98,723,TRUE
215,Kassie Braitling,kbraitling5y@mail.ru,Female,106,CA,7483.84,10181.72,628,FALSE
216,Findley Fayer,ffayer5z@cdbaby.com,Male,,CA,3017.09,9391.73,686,FALSE
217,Port Scarlet,pscarlet60@digg.com,Female,39,TX,7984.35,11981.95,568,FALSE
218,Erina Lumly,elumly61@ocn.ne.jp,Male,64,FL,5576.61,13477.23,638,FALSE
219,Marcus Northill,mnorthill62@t-online.de,Female,95,TX,8305.87,7501.1,644,FALSE
220,Sean Drinkall,sdrinkall63@wisc.edu,Female,4,CA,601.13,6809.11,,TRUE
221,Milissent McAusland,mmcausland64@paypal.com,Male,104,CA,5249.31,4067.39,632,TRUE
222,Harbert Koschke,hkoschke65@theglobeandmail.com,Female,,TX,2038.8,15630.64,638,TRUE
223,Lola Putman,lputman66@mapquest.com,Male,1,NY,408.7,12067.04,665,FALSE
224,Daisie Demeter,ddemeter67@geocities.jp,Female,29,NY,5688.24,17422.86,705,FALSE
225,Rosalyn Vollam,,Female,17,NY,8383.49,15097.06,,FALSE
226,Gilligan Alvey,galvey69@census.gov,Female,88,FL,6738.99,10475.65,,FALSE
227,Karissa Gatiss,kgatiss6a@usa.gov,,56,,1963.45,1246.29,635,TRUE
228,Hadleigh Helsby,hhelsby6b@columbia.edu,Male,73,CA,6030.87,17278.25,589,TRUE
229,Corinne Starmont,cstarmont6c@illinois.edu,Female,10,TX,3765.58,407.03,653,TRUE
230,Stephani Kirstein,skirstein6d@fastcompany.com,Female,,CA,5106.8,,823,FALSE
231,Deb Stirgess,dstirgess6e@e-recht24.de,Male,,TX,9276.61,10116.97,720,FALSE
232,Zechariah Sketcher,zsketcher6f@cpanel.net,Male,93,CA,4105.38,10994.4,676,TRUE
,Max Corkett,mcorkett6g@de.vu,Male,115,NY,5982.58,14959.57,829,TRUE
234,Alfie Obee,aobee6h@networksolutions.com,Male,110,FL,3887.33,8213.28,658,TRUE
235,Annecorinne Pottes,apottes6i@sciencedaily.com,Female,15,TX,8151.87,5611.55,611,FALSE
236,Barbey Tedorenko,btedorenko6j@surveymonkey.com,,115,TX,4024.58,16943.88,565,FALSE
237,Nan Daviddi,,Male,17,NY,8176.45,,795,FALSE
238,Beatrice Polding,bpolding6l@hostgator.com,Male,11,FL,4994.63,6880.42,551,TRUE
239,Clareta Birley,cbirley6m@lulu.com,Female,8,TX,5349.32,5047.62,796,FALSE
240,Dolf Borton,dborton6n@mail.ru,Male,21,CA,2150.58,2623.63,639,TRUE
241,Mag Wyrall,mwyrall6o@infoseek.co.jp,Male,4,NY,,2868.69,728,FALSE
242,Hillyer Drei,hdrei6p@bloglines.com,Male,55,FL,6024.35,10539.07,563,TRUE
243,Aldis MacQuist,,Male,116,FL,6086.71,8644.36,571,TRUE
244,Ynez Ellum,yellum6r@amazon.co.jp,Female,,NY,8926.47,18995.48,597,FALSE
,Ettore Antrag,eantrag6s@amazon.co.jp,Male,119,NY,2465.06,5157.75,683,TRUE
246,Stevena Turpie,sturpie6t@ucoz.ru,Female,49,CA,4498.45,2875.6,598,TRUE
247,Bamby Becconsall,,Female,72,FL,2621.55,8386.22,701,FALSE
248,Virge Kippins,vkippins6v@cbslocal.com,,35,NY,5224.39,10403.4,655,TRUE
249,Sherwood Mitro,smitro6w@google.fr,Male,33,TX,1467,15262.27,615,TRUE
250,Engracia Cranmere,ecranmere6x@wikimedia.org,Female,36,CA,7304.33,7284.58,789,FALSE
251,Lalo D'Ambrogi,ldambrogi6y@dyndns.org,Female,109,NY,242.83,4122.83,764,TRUE
252,Georg Westover,gwestover6z@com.com,Male,50,FL,9311.13,14225.43,806,TRUE
253,Debbi Robertson,,Male,47,TX,9546.12,13704.86,722,FALSE
254,Loralie Chart,lchart71@spiegel.de,Male,84,TX,842.82,6076.5,602,FALSE
255,Herc Shoebotham,hshoebotham72@google.co.uk,Male,11,CA,1283.35,18339.15,593,FALSE
256,Drew Dwerryhouse,ddwerryhouse73@arstechnica.com,Male,90,NY,9176.51,5446.7,663,FALSE
257,Perceval Gallehock,pgallehock74@webs.com,,,TX,8905.77,10589.17,590,FALSE
258,Gabbi Siggers,gsiggers75@si.edu,Female,52,FL,559.71,3221.7,745,FALSE
259,Damien Ourry,dourry76@loc.gov,Male,34,TX,,13752.77,588,TRUE
,Gilligan McGhee,gmcghee77@epa.gov,Male,,CA,2982.4,4664.36,761,FALSE
261,Heather Grimston,,,11,TX,3820.13,1569.19,748,TRUE
262,Hollyanne Dod,hdod79@chicagotribune.com,,65,FL,4031.4,203.14,731,TRUE
263,Giavani Libbey,glibbey7a@flavors.me,Male,58,TX,9637.89,12690.87,686,TRUE
264,Lula Vlach,lvlach7b@nps.gov,Female,109,CA,1455.68,12610.28,800,TRUE
265,Nate Inderwick,ninderwick7c@yandex.ru,Male,90,FL,6048.07,3640.29,824,FALSE
266,Emery Eard,,Male,61,TX,1889.1,18214.69,810,FALSE
267,Tana Jobin,,Male,,TX,9505.87,4069.27,804,TRUE
268,Jayson Hinchcliffe,jhinchcliffe7f@addtoany.com,Female,119,CA,3768.49,7779.81,567,FALSE
269,Bradford Leheude,bleheude7g@archive.org,Male,16,TX,5596.11,7350.18,,FALSE
270,Roch Swannack,rswannack7h@fotki.com,Male,68,FL,2244.7,5564.17,696,FALSE
271,Allen Manssuer,amanssuer7i@ehow.com,Male,,TX,3940.54,,739,FALSE
272,Janine Scarfe,jscarfe7j@indiatimes.com,,47,FL,1202.31,16230.86,580,TRUE
273,Emily Dolbey,edolbey7k@opensource.org,Male,6,TX,359.07,11068.52,820,FALSE
274,Rey Kemer,,Female,46,TX,8076.42,14442.67,685,FALSE
275,Herby Huffey,,Male,70,FL,6568.25,,672,FALSE
276,Aubrey Spivie,aspivie7n@auda.org.au,,55,CA,7831.8,4636.58,708,FALSE
277,Mel Stride,mstride7o@elegantthemes.com,Male,32,CA,5267.83,154.36,648,TRUE
278,Brier Hudson,bhudson7p@smh.com.au,Female,,NY,9392.2,17700.51,634,TRUE
279,Gerry Ingerith,gingerith7q@yale.edu,,8,CA,2618.25,16795.77,552,FALSE
280,Anatol Georgi,,Male,38,NY,4580.95,10235.65,755,FALSE
281,Rodrigo Gergler,rgergler7s@comcast.net,,8,FL,9371.26,4201.14,660,FALSE
282,Zelma Higginbottam,zhigginbottam7t@berkeley.edu,Male,45,FL,721.8,9967.38,794,FALSE
283,Christal Digman,cdigman7u@multiply.com,Male,7,TX,9302.67,5058.7,791,TRUE
284,Jerrylee Martinuzzi,jmartinuzzi7v@illinois.edu,Female,67,TX,5817.87,10460.83,693,FALSE
285,Gizela Beevors,gbeevors7w@theatlantic.com,Female,,TX,7775.47,13499.68,575,FALSE
286,Barron Riddle,briddle7x@chronoengine.com,,,CA,2533.68,2206.38,757,TRUE
287,Isabella Garriock,igarriock7y@state.tx.us,Female,40,TX,3842.09,14106.98,586,FALSE
288,Jaynell Stairmand,jstairmand7z@youtube.com,,,TX,2565.51,3623.04,696,TRUE
289,Samaria Restall,srestall80@paginegialle.it,Male,112,TX,8020.59,7137.15,764,TRUE
290,Krishnah de Marco,kde81@elpais.com,Male,17,TX,7698.36,4960.48,733,TRUE
291,Wanda Shelp,wshelp82@economist.com,Female,99,CA,7371.31,,686,FALSE
292,Merle Gavan,mgavan83@vimeo.com,Male,,TX,8824.73,3268.12,701,TRUE
293,Lela Cheston,lcheston84@bigcartel.com,Female,13,CA,281.11,,597,FALSE
294,Stace Clampett,sclampett85@eventbrite.com,Female,0,TX,60.01,15167.44,790,TRUE
295,Lina Doudney,ldoudney86@sourceforge.net,Male,93,FL,7052.19,7907.05,798,TRUE
296,Farrand Brookson,fbrookson87@statcounter.com,Male,37,CA,511.65,9517.72,828,TRUE
297,Xymenes Chad,xchad88@google.co.jp,Male,13,TX,3397.83,13365.76,757,TRUE
298,Darelle L'Archer,,Male,91,FL,371.8,10403.4,586,FALSE
